LEMMA|POS,LEMMA,POS,FREQUENCY,INFLECTIONS
tempt|v,tempt,v,49,"tempt, tempted, tempting, tempts"
vet|n,vet,n,49,"vet, vets"
witness|v,witness,v,49,"witness, witnessed, witnesses, witnessing"
yikes|u,yikes,u,49,yikes
hood|n,hood,n,49,"hood, hoods"
dawn|n,dawn,n,49,"dawn, dawns"
motor|n,motor,n,49,"motor, motors"
tent|n,tent,n,49,"tent, tents"
tumor|n,tumor,n,48,"tumor, tumors"
bathtub|n,bathtub,n,48,"bathtub, bathtubs"
bitch|v,bitch,v,48,"bitch, bitched, bitches, bitching"
broad|j,broad,j,48,"broad, broader, broadest"
brutal|j,brutal,j,48,brutal
buzz|v,buzz,v,48,"buzz, buzzed, buzzes, buzzing"
campaign|n,campaign,n,48,"campaign, campaigns"
conduct|v,conduct,v,48,"conduct, conducted, conducting, conducts"
copier|n,copier,n,48,"copier, copiers"
cranky|j,cranky,j,48,"cranky, crankier, crankiest"
eternal|j,eternal,j,48,eternal
foam|n,foam,n,48,"foam, foams"
FYI|abbr,FYI,abbr,48,FYI
google|v,google,v,48,"google, googles, googling, googled"
greedy|j,greedy,j,48,"greedy, greedier, greediest"
hiya|u,hiya,u,48,hiya
kisser|n,kisser,n,48,"kisser, kissers"
lava|n,lava,n,48,"lava, lavas"
like|n,like,n,48,"like, likes"
loosen|v,loosen,v,48,"loosen, loosened, loosening, loosens"
Lord|u,Lord,u,48,Lord
mailbox|n,mailbox,n,48,"mailbox, mailboxes"
naive|j,naive,j,48,"naive, naiver, naivest"
November|K,November,K,48,"November, Novembers"
particle|n,particle,n,48,"particle, particles"
perspective|n,perspective,n,48,"perspective, perspectives"
plug|n,plug,n,48,"plug, plugs"
privilege|n,privilege,n,48,"privilege, privileges"
resolve|v,resolve,v,48,"resolve, resolved, resolves, resolving"
scarf|n,scarf,n,48,"scarf, scarfs, scarves"
start|n,start,n,48,"start, starts"
trainer|n,trainer,n,48,"trainer, trainers"
unable|j,unable,j,48,unable
unacceptable|j,unacceptable,j,48,unacceptable
unfortunate|j,unfortunate,j,48,unfortunate
update|n,update,n,48,"update, updates"
volcano|n,volcano,n,48,"volcano, volcanoes, volcanos"
weed|n,weed,n,48,"weed, weeds"
worthy|j,worthy,j,48,"worthy, worthier, worthiest"
vault|n,vault,n,48,"vault, vaults"
permanent|j,permanent,j,48,permanent
gag|n,gag,n,48,"gag, gags"
addicted|j,addicted,j,47,addicted
bah|u,bah,u,47,bah
balance|v,balance,v,47,"balance, balanced, balances, balancing"
bitter|j,bitter,j,47,"bitter, bitterer, bitterest"
boo|v,boo,v,47,"boo, booed, booing, boos"
braces|n,braces,n,47,braces
cashmere|n,cashmere,n,47,"cashmere, cashmeres"
chimp|n,chimp,n,47,"chimp, chimps"
comfort|n,comfort,n,47,"comfort, comforts"
communist|n,communist,n,47,"communist, communists"
consultant|n,consultant,n,47,"consultant, consultants"
criticize|v,criticize,v,47,"criticize, criticized, criticizes, criticizing"
cutie|n,cutie,n,47,"cutie, cutey, cuteys, cuties"
decaf|n,decaf,n,47,"decaf, decaff, decaffs, decafs"
demonstrate|v,demonstrate,v,47,"demonstrate, demonstrated, demonstrates, demonstrating"
denial|n,denial,n,47,"denial, denials"
distraction|n,distraction,n,47,"distraction, distractions"
dunk|v,dunk,v,47,"dunk, dunked, dunking, dunks"
edition|n,edition,n,47,"edition, editions"
embarrassment|n,embarrassment,n,47,"embarrassment, embarrassments"
extension|n,extension,n,47,"extension, extensions"
Frisbee|K,Frisbee,K,47,"Frisbee, Frisbees"
grind|v,grind,v,47,"grind, grinding, grinds, ground"
hairy|j,hairy,j,47,"hairy, hairier, hairiest"
handy|j,handy,j,47,"handy, handier, handiest"
humble|j,humble,j,47,"humble, humbler, humblest"
juggle|v,juggle,v,47,"juggle, juggled, juggles, juggling"
kit|n,kit,n,47,"kit, kits"
lift|n,lift,n,47,"lift, lifts"
loyalty|n,loyalty,n,47,"loyalty, loyalties"
lyric|n,lyric,n,47,"lyric, lyrics"
maestro|n,maestro,n,47,"maestro, maestri, maestros"
margarita|n,margarita,n,47,"margarita, margaritas"
molest|v,molest,v,47,"molest, molested, molesting, molests"
occasionally|r,occasionally,r,47,occasionally
overwhelm|v,overwhelm,v,47,"overwhelm, overwhelmed, overwhelming, overwhelms"
pee|n,pee,n,47,"pee, pees"
pharmacy|n,pharmacy,n,47,"pharmacy, pharmacies"
preserve|v,preserve,v,47,"preserve, preserved, preserves, preserving"
properly|r,properly,r,47,properly
restroom|n,restroom,n,47,"restroom, restrooms"
secure|j,secure,j,47,"secure, securer, securest"
settlement|n,settlement,n,47,"settlement, settlements"
sundae|n,sundae,n,47,"sundae, sundaes"
Thai|K,Thai,K,47,Thai
toad|n,toad,n,47,"toad, toads"
trailer|n,trailer,n,47,"trailer, trailers"
transform|v,transform,v,47,"transform, transformed, transforming, transforms"
trust|n,trust,n,47,"trust, trusts"
uterus|n,uterus,n,47,"uterus, uteri, uteruses"
violation|n,violation,n,47,"violation, violations"
weekly|j,weekly,j,47,weekly
blog|n,blog,n,47,"blog, blogs"
flying|j,flying,j,47,flying
advise|v,advise,v,46,"advise, advised, advises, advising"
altar|n,altar,n,46,"altar, altars"
assembly|n,assembly,n,46,"assembly, assemblies"
bath|v,bath,v,46,"bath, bathed, bathing, baths"
beaver|n,beaver,n,46,"beaver, beavers"
blazer|n,blazer,n,46,"blazer, blazers"
compromise|v,compromise,v,46,"compromise, compromised, compromises, compromising"
conspiracy|n,conspiracy,n,46,"conspiracy, conspiracies"
critical|j,critical,j,46,critical
devastated|j,devastated,j,46,devastated
